discord_username,osu_username,initial_pp,current_pp,global_rank,id,pp_change,percentage_change,ii
xavier_hi,SqueakSqueak,4936,4936,99818,13,0,0.0,1.72
death9208,Death9208,5767,5767,62656,9,0,0.0,0.74
thatg_y,-tag,6055,6055,53525,6,0,0.0,1.88
ssssoup,spinneracc,4948,4948,99053,1,0,0.0,1.16
xapped,Xapped,5177,5177,87158,11,0,0.0,1.92
johnyy4,6 digit forever,5469,5469,74021,4,0,0.0,1.17
eonduolatias,EonDuoLatios,5503,5503,72554,3,0,0.0,1.71
egorixxz,Egorixxz,4990,4990,96853,5,0,0.0,0.93
daribush.,Daribush,5090,5090,91553,2,0,0.0,0.81
rz15i,rzye,5766,5766,62690,10,0,0.0,0.8
goi3m,golem,6053,6053,53593,7,0,0.0,1.92
