discord_username,osu_username,initial_pp,current_pp,pp_change,global_rank,id,percentage_change,ii
swatgrimmy,SWATGrimmy,6329,6267,-62,45913,14,-0.98,0.75
oshmkufa_,Yumirai,6802,6802,0,35298,5,0.0,0.84
kanna.dc,[Kanna],6660,6660,0,38164,10,0.0,1.64
vnxt.,durante,6794,6794,0,35446,9,0.0,1.81
arirret,Arirret,8124,8120,-4,17253,4,-0.05,1.89
demideum,Demideum,7490,7490,0,24093,6,0.0,1.16
elo4373,Elo4373,6663,6663,0,38107,11,0.0,2.3
a_cool_toast,FinBois,6880,6880,0,33797,7,0.0,1.88
akasaiba,Saiba,6500,6500,0,41716,1,0.0,4.52
serrrved,zeppelinn,7840,7840,0,19961,8,0.0,0.93
wetratz0,wetratz0,6890,6890,0,33605,12,0.0,2.18
oppanboy,oppanboy,7408,7408,0,25251,3,0.0,1.39
catzfx,plus,7946,7946,0,18855,2,0.0,1.37
