discord_username,osu_username,initial_pp,current_pp,pp_change,global_rank,id,percentage_change,ii
strivial,Strivial,4771,4771,0,108776,9,0.0,1.54
rafelandroid2,castor,4353,4353,0,135063,4,0.0,1.35
evolhsif,shira1,4686,4686,0,113598,5,0.0,0.59
harrybaldwig,baldwig,4496,4496,0,125477,14,0.0,0.92
booba.b,jefferson bobbe,4584,4584,0,119747,3,0.0,1.84
rhythmic_ocean,Rhythmic_Ocean,4268,4268,0,141195,12,0.0,0.73
yanamiannapout,Rika Voort,4017,4017,0,160605,11,0.0,2.13
alonsz,alonsz,4874,4874,0,103160,2,0.0,0.99
kero727,xXKero,3921,3921,0,168461,8,0.0,0.65
beatmaps,Kqma,3255,3255,0,238180,1,0.0,1.42
supneit,SupNeit,3175,3175,0,248540,10,0.0,1.26
amamiya.mitoro,Amamiya Mitoro,5004,5004,0,96031,7,0.0,0.86
